*Loc,Descr,Loc_Type,HIERARCHYLEVEL,UDC_ClusterDescr,UDC_ClusterID,UDC_CountryDescr,UDC_CountryID,UDC_Create_Dtetm,UDC_Level,UDC_RegionDescr,UDC_RegionID,UDC_Update_Dtetm,UDC_AreaID,UDC_AreaDescr,Type,UDC_Delete
69053,CH NQ Citi Gate,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69056,CH NQ Topaz City,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69058,CH NQ Khu Dan Cu Dai Phuc,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69060,CH NQ Trung Tuyen City,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69061,CH NQ Fuji Gia Binh,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69062,CH NQ Ben Hai,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69064,CH NQ The Pegasuite PhuongViet,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69066,CH NQ Trung Son,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
69068,CH NQ Pho Dong,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
69069,CH NQ Bong Sao,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69070,CH NQ Gia Hoa,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69071,CF NQ Stown Tower,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69072,CF NQ Thu Thiem,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69073,CH NQ Ben Hai,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69074,CH NQ Sky 9,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
691,CH Co.opFood Tan Quy,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
692,CH Co.opFood Lien Khu 5-6,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
693,CH Co.opFood Tam Binh 196,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
694,CH Co.opFood Thang Long 31,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
695,CH Co.opFood Le Loi 60,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
696,CH CFood Hoang Anh Thanh Binh,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
697,CH CoopFood Trinh Dinh Thao 31,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
698,CH Co.opFood Tan Huong 262,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
699,CoopFood Nhuong Quyen,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
801,Trung tam phan phoi Song Than,3, ,DC,DC,Vietnam,VN,2/10/2020 14:40,1, , ,6/9/2020 9:29,B, ,1,FALSE
802,Trung tam phan phoi Mien Tay,3, ,DC,DC,Vietnam,VN,2/10/2020 14:40,1, , ,6/9/2020 9:29,B, ,1,FALSE
803,Trung Tam Phan Phoi Mien Bac,3, ,DC,DC,Vietnam,VN,10/20/2020 8:05,1, , ,10/20/2020 8:05,B, ,1,FALSE
804,Kho Ve Tinh Binh Duong,6,STORE,CoopMart,CM,Vietnam,VN,,1, , ,,B, ,1,FALSE
805,TTPP Saigonco.op-Kho hang U&I,3, ,DC,DC,Vietnam,VN,8/12/2021 7:43,1, , ,8/12/2021 7:43,B, ,1,FALSE
808,Kho TPTS-Song Than,3, ,DC,DC, , ,,1, , ,,B, ,1,FALSE
810,Kho Ve Tinh Binh Duong,6, ,CoopMart,CM,Vietnam,VN,,1, , ,,B, ,1,FALSE
9102,Co.opFood Mien Bac,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9103,CH Co.opFood HN Bac Ha C14,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9104,CH Co.opFood HN Trieu Khuc,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9105,CH Co.opFood HN Bac Ha Tower,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
