*Item,Descr,UDC_SEQ_ITEM,UDC_ARTT2,UnitPrice,UDC_ARTT1,UDC_CF_G1,UDC_CF_G2,UDC_CF_G3,UDC_CF_G4,UDC_CF_G5
3456048,Banh tam bi 500g-SAUTHANH,5,CBNC,"8,800.000",,,,G3,G4,G5_NQ
3456049,Ga say r.bien vi toi ot kg-TNP,238,CBNC,"419,000.000",,,,,,G5_NQ
3457604,Banh d.do H.KIM T.Luong hg150g,374,CBNC,"33,000.000",,,,,,G5_NQ
3457682,Hu tieu tuoi kg-STHANH,6,CBNC,"25,000.000",,,,,,G5_NQ
3458651,Ot say kho 50g-NT,130,CBNC,"10,000.000",,,,,,G5_NQ
3458652,Nghe bot 50g-NT,131,CBNC,"11,000.000",,,,,,G5_NQ
3458655,Hat dieu kho 50g-NT,132,CBNC,"10,000.000",,,,,,G5_NQ
3460395,SANDOCHI nhans.chua20g(tui10c),188,CBNC,"40,000.000",,G1,G2,G3,G4,G5_NQ
3460396,SANDOCH nhan phomai20g(tui10c),189,CBNC,"40,000.000",,G1,G2,G3,G4,G5_NQ
3464310,Che bo luong 250g-LHP,391,CBNC,"13,500.000",,,,,,G5_NQ
3464311,Banh da lon 100g-LHP,383,CBNC,"7,600.000",,,,,,G5_NQ
3464312,Banh bo 200g-LHP,384,CBNC,"10,200.000",,,,,,G5_NQ
3464313,Banh khoai mi nuong 100g-LHP,385,CBNC,"8,500.000",,,,,,G5_NQ
3464314,Banh quy nhan dua 100g-LHP,389,CBNC,"12,000.000",,,,,,G5_NQ
3464315,Banh dau xanh nuong 100g-LHP,386,CBNC,"8,500.000",,,,,,G5_NQ
3473360,Rau mop chua kg TNP,249,CBNC,"79,000.000",,,,,,G5_NQ
3473364,Cu cai muoi 200g-NT,133,CBNC,"22,000.000",,G1,G2,G3,G4,G5_NQ
3474088,Banh pia Kim Sa dau-mon TL480g,375,CBNC,"84,000.000",,,,,,G5_NQ
3478343,B.trang nuong tom sieu cay 80g,56,CBNC,"15,150.000",,,,,,G5_NQ
3478344,B.trang nuong dua sua 60g,57,CBNC,"15,150.000",,,,,,G5_NQ
3478345,B.trang nuong tom cay 80g,58,CBNC,"15,150.000",,,,,,G5_NQ
3478346,B.trang me nuong 120g,59,CBNC,"15,150.000",,,,,,G5_NQ
3478347,Song khoai ngu vi 40g,60,CBNC,"16,400.000",,,,,,G5_NQ
3481115,Cha muc hap 200g-NT,150,CBNC,"53,000.000",,,,G3,G4,G5_NQ
3486348,Lap xuong trung muoi TNP kg,239,CBNC,"250,000.000",,,,,,G5_NQ
3492931,Sua gao lut OHSAWA 568ml,322,CBNC,"18,500.000",,,,G3,G4,G5_NQ
3493375,Sua hat sen Dang Khoi 330ml,328,CBNC,"13,800.000",,,G2,G3,G4,G5_NQ
3493376,Sua bap Dang Khoi 330ml,329,CBNC,"12,500.000",,,G2,G3,G4,G5_NQ
3493938,Bun tuoi TNP 500g,246,CBNC,"7,500.000",,,,,,G5_NQ
3494711,Trung ga xong khoi(2T/hop)-VTD,272,CBNC,"9,500.000",,,,G3,G4,G5_NQ
3495869,Kho ca bo tam D.Diep hu 150g,295,CBNC,"63,500.000",,,,,,G5_NQ
3495870,Kho muc tam cay D.Diep hu 150g,296,CBNC,"73,500.000",,,,,,G5_NQ
3498912,Sua dau nanh SOYA 568ml,324,CBNC,"18,500.000",,,,,,G5_NQ
3498913,BanhKaro trungtuoi chbong6x26g,331,CBNC,"24,000.000",,G1,G2,G3,G4,G5_NQ
3499491,Che duong nhan 330ml-HTH,173,CBNC,"18,000.000",,,G2,G3,G4,G5_NQ
3499492,Suon chay say me 100g,61,CBNC,"31,500.000",,,,,,G5_NQ
3499493,Kho bo chay sa ot 50g,62,CBNC,"37,950.000",,,,G3,G4,G5_NQ
3499512,Banh trong vi la gai 75g,196,CBNC,"6,182.000",,,,,,G5_NQ
3503428,Ruoc kho kg-ANP,119,CBNC,"253,000.000",,,,,,G5_NQ
3503826,Bun tuoi xoan oc 400g-SAUTHANH,7,CBNC,"8,500.000",,,,G3,G4,G5_NQ
3504846,Cu cai muoi 500g-NT,134,CBNC,"45,000.000",,,,,,G5_NQ
3504847,Sua dau tr.chau ciao 270ml-MKX,323,CBNC,"14,000.000",,,,,,G5_NQ
3504848,Ca khoai say tam me 100g-DD,297,CBNC,"37,800.000",,,,,,G5_NQ
3504849,Ca lu du say toi 100g-DD,298,CBNC,"37,800.000",,,,,,G5_NQ
3504850,Ca mai sot chanh 100g-DD,299,CBNC,"46,200.000",,,,,,G5_NQ
3504851,Ca com sua 100g-DD,300,CBNC,"43,848.000",,,,,,G5_NQ
3506740,TPDD vi mat ong 250g-PGP,63,CBNC,"110,000.000",,,,,,G5_NQ
3506741,TPDD vi tra xanh 250g-PGP,64,CBNC,"110,000.000",,,,,,G5_NQ
3506742,TPDD vi chocolate 250g-PGP,65,CBNC,"110,000.000",,,,,,G5_NQ
3507279,Banh dau xanh tuoi 210g-BM,197,CBNC,"23,148.000",,,G2,G3,G4,G5_NQ
3507734,Banh d.do H.KIM TL s.rieng300g,376,CBNC,"60,000.000",,,,,,G5_NQ
3508922,Tau hu t.chau d.den 200g-HTH,171,CBNC,"14,300.000",,,,,,G5_NQ
3508923,Banh pia k.sa thanhlong160g-NT,135,CBNC,"29,000.000",,,,,,G5_NQ
3508924,Banh pia k.sa me den 160g-NT,136,CBNC,"29,000.000",,,,,,G5_NQ
