*Item,Descr,ItemClass,UOM,DefaultUOM,UDC_BuyUOM,UDC_BuyContent,UDC_Weight,UDC_Cube,UnitPrice,PlanLevel,UDC_CategoryDescr,UDC_CategoryID,UDC_ClassDescr,UDC_ClassID,UDC_CREATE_DteTm,UDC_Delete,UDC_DeptDescr,UDC_DeptID,UDC_SubDeptDescr,UDC_SubDeptID,UDC_Update_DteTm,UnitsPerPallet,Vol,Wgt,BRAND,UDC_GOLIVE
3000924,Sau rieng giong Thai L1 kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"99,000.000",1,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000928,Xoai giong Dai Loan L1 kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"20,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000929,Xoai tu Quy kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"25,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000931,Tao do My kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"75,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000936,Dua xiem trai,DEFAULT,PIECES,18,EA,1.000,.000,.000,"12,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000938,Tac kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"23,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000939,Tao xanh New Zealand kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"70,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000940,Nho den khong hat tron kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"145,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000946,Nhan tieu Hue kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"47,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000950,Sau rieng hat lep kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"90,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000951,Dua hau vang loai1,DEFAULT,PIECES,18,KG,1.000,.000,.000,"19,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000952,Mit lot kg-Tu NCC,DEFAULT,PIECES,18,KG,1.000,.000,.000,"32,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000955,Bo sap kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"35,000.000",1,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000966,Quyt Uc kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"70,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000984,Buoi da xanh loai-1,DEFAULT,PIECES,18,KG,1.000,.000,.000,"30,000.000",1,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3000985,Buoi duong Tan Trieu kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"27,000.000",1,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3050358,Trai Sung kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"38,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3050361,Man Com kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"37,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
